Long Name,T,d,,T,d,,T,d
Comments,RSOXS 2 layer,RSOXS 2 layer,RSOXS 2 layer FWHM (1/d),RSOXS 3 layer,RSOXS 3 layer,RSOXS 3 layer FWHM (1/d),XRD 1 layer,XRD 1 layer
1,--,--,,--,--,,174.0935,47.95226518
2,--,--,,--,--,,169.1628,48.46640934
3,26.9,110.5027314,,--,--,,164.2618,48.91541695
4,27.8,110.4056459,,--,--,,159.4131,49.31469514
5,28.7,110.3668594,,--,--,,154.5503,49.66552294
6,29.7,110.3867654,7.23E-04,--,--,,149.6423,50.01341485
7,30.7,110.3870221,7.07E-04,--,--,,144.7234,50.34603612
8,31.6,110.4056459,--,--,--,,139.8336,50.67084925
9,32.6,110.3862492,--,--,--,,134.9179,50.99574148
10,33.5,110.3700357,7.20E-04,--,--,,130.0135,51.29968409
11,34.5,110.3284929,6.92E-04,--,--,,128.0526,51.42985436
12,35.4,110.3191073,8.19E-04,--,--,,126.0799,51.54799661
13,36.4,110.3327518,7.70E-04,--,--,,125.1024,51.61575049
14,37.3,110.260809,7.91E-04,--,--,,122.5085,51.68368271
15,38.3,110.2496096,7.73E-04,--,--,,121.3154,51.7560569
16,39.3,110.2246826,7.73E-04,--,--,,120.3033,51.83290965
17,40.2,110.1625809,7.36E-04,--,--,,119.3104,51.90570266
18,41.2,110.1257166,7.59E-04,--,--,,118.3005,51.99590622
19,42.1,110.0600798,7.31E-04,--,--,,117.3168,52.07347346
20,43.1,109.9961525,7.44E-04,--,--,,116.3094,52.16426158
21,44.1,109.9439201,7.49E-04,--,--,,115.3017,52.27710548
22,45,109.8810572,7.11E-04,--,--,,114.3059,52.37733667
23,46,109.8301423,7.13E-04,--,--,,113.3117,52.46480717
24,46.9,109.7619415,7.00E-04,--,--,,112.3191,52.53938713
25,47.9,109.7145724,7.03E-04,--,--,,111.3227,52.60977399
26,48.8,109.657684,7.07E-04,--,--,,110.3283,52.67151737
27,49.8,109.6098569,6.90E-04,--,--,,109.3351,52.73783202
28,50.7,109.5608712,6.92E-04,--,--,,108.3397,52.80875195
29,51.7,109.5191581,7.12E-04,--,--,,107.3457,52.87541283
30,52.6,109.4883163,7.06E-04,--,--,,106.3524,52.92886284
31,53.6,109.4388627,7.17E-04,--,--,,105.3635,52.98688908
32,54.6,109.3954637,7.34E-04,--,--,,104.365,53.04056481
33,55.5,109.3244431,7.09E-04,--,--,,103.3695,53.09434939
34,56.5,109.3014892,7.29E-04,--,--,,102.3791,53.14374784
35,57.4,109.2420275,7.50E-04,--,--,,101.3837,53.18873535
36,58.4,109.1806259,7.32E-04,--,--,,100.3894,53.22928928
37,59.3,109.1397649,7.51E-04,--,--,,99.4101,53.26990511
38,60.3,109.0778387,7.43E-04,--,--,,98.4025,53.30606013
39,61.3,109.0214709,7.21E-04,--,--,,97.4424,53.35132298
40,62.2,108.9810351,7.36E-04,--,--,,96.4382,53.38758864
41,63.1,108.9346145,7.35E-04,--,--,,95.4328,53.42844649
42,64.1,108.8826068,7.30E-04,--,--,,94.4455,53.45571982
43,65.1,108.8598965,7.70E-04,--,--,,93.4657,53.483021
44,66,108.8012099,7.50E-04,--,--,,92.4738,53.51946599
45,67,108.7461766,7.46E-04,--,--,,91.4844,53.53770712
46,67.9,108.6774094,7.27E-04,--,--,,90.4826,53.56965903
47,68.9,108.6309483,7.50E-04,--,--,,89.4915,53.59707675
48,69.8,108.5845823,7.62E-04,--,--,,88.4778,53.62452255
49,70.8,108.5157585,7.48E-04,--,--,,86.4814,53.64741553
50,71.7,108.4513019,7.67E-04,--,--,,84.47,53.69784896
51,72.7,108.369753,7.83E-04,--,--,,82.5119,53.73458742
52,73.6,108.3021669,7.68E-04,--,--,,80.4983,53.77597832
53,74.6,108.2409091,7.75E-04,--,--,,78.502,53.8036077
54,75.6,108.1674062,7.94E-04,--,--,,76.4974,53.83587788
55,76.5,108.1116114,8.17E-04,--,--,,74.5076,53.87280551
56,77.5,108.0539731,8.14E-04,--,--,,72.5062,53.9005345
57,78.4,107.963635,7.99E-04,--,--,,70.519,53.93292109
58,79.4,107.9148729,8.13E-04,--,--,,68.5179,53.96534662
59,80.4,107.8544021,8.11E-04,--,--,,66.5613,54.00245215
60,81.3,107.7862446,8.29E-04,--,--,,64.57,53.9885316
61,82.3,107.7245609,8.40E-04,--,--,,64.57,52.57015819
62,83.2,107.6562016,8.25E-04,83.2,143.0597748,0.00676,62.6255,53.99317098
63,84.1,107.5768522,8.37E-04,84.1,143.353532,0.00574,62.6255,52.58775784
64,85.1,107.5046128,8.19E-04,85.1,143.4517193,0.0054,61.6186,54.00709392
65,86.1,107.4453234,8.22E-04,86.1,143.7142111,0.00536,61.6186,52.49110532
66,87,107.3692298,8.11E-04,87,143.9117111,0.00428,60.6284,54.0442569
67,88,107.311377,8.25E-04,88,143.9117111,0.00368,60.6284,52.46918837
68,88.9,107.2318965,8.13E-04,88.9,144.3414957,0.00294,58.6468,54.6316434
69,89.9,107.1850104,7.80E-04,89.9,144.142815,0.00318,58.6468,52.39480743
70,90.9,107.1484534,8.55E-04,90.9,144.773855,0.0028,56.6141,54.61739662
71,91.8,107.0754142,8.48E-04,91.8,145.3095584,0.00188,56.6141,52.36860566
72,92.7,107.038932,0.0009,92.7,145.6126375,0.0037,54.6279,54.6079029
73,93.7,107.0024746,9.90E-04,93.7,145.9169834,0.003,54.6279,52.34243008
74,94.7,106.947835,9.90E-04,94.7,146.6320959,0.002,52.6595,54.53680503
75,95.6,106.966042,9.90E-04,95.6,147.0438874,0.002,52.6595,52.32063708
76,96.6,107.0207002,9.90E-04,96.6,147.4579983,0.003,50.6727,54.50368934
77,97.5,107.0207002,9.70E-04,97.5,147.8744483,0.00102,50.6727,52.29015735
78,98.5,106.9842552,9.50E-07,98.5,148.223291,0.00082,48.6928,54.45645092
79,99.4,106.9296342,9.80E-07,99.4,148.4333878,0.00074,48.6928,52.2727563
80,100.4,106.8387231,6.50E-04,100.4,148.4684619,0.00089,46.6699,54.42814715
81,101.3,106.8205595,0.00044,101.3,148.4684619,8.10E-04,46.6699,52.23364625
82,102.3,106.7661055,0.0017,102.3,148.3632894,9.70E-04,44.7041,54.37633325
83,103.3,106.7298337,0.00094,103.3,148.328265,0.00072,44.7041,52.19893086
84,104.2,106.802402,0.00086,104.2,148.2932572,0.00074,42.707,54.39987279
85,--,--,,105.2,148.1883327,0.0008,42.707,52.16859272
86,--,--,,106.1,148.1533909,0.00082,40.6798,54.28706849
87,--,--,,107.1,148.1533909,0.00082,40.6798,52.14261666
88,--,--,,108,148.1533909,0.00082,38.6615,54.25425531
89,--,--,,109,148.1533909,0.00082,38.6615,52.11234393
90,--,--,,110,148.0137882,0.0009,36.7426,54.20744808
91,--,--,,--,--,,36.7426,52.08642383
92,--,--,,--,--,,34.7178,54.16539058
93,--,--,,--,--,,34.7178,52.06052952
94,--,--,,,,,32.6723,54.11407551
95,--,--,,,,,32.6723,52.030352
96,--,--,,,,,30.2784,54.16072155
97,--,--,,,,,30.2784,52.00451339
98,--,--,,,,,28.7307,54.07681648
99,--,--,,,,,28.7307,51.9830008
